Player Name,Player Reference,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Game Reference,Team,Period
Bobby Portis,portibo01,False,21:03,.455,.455,.364,.000,0.0,38.0,20.0,0.0,0.0,0.0,8.3,24.1,88,118,-15.3,202401130MIL,MIL,game
Chris Livingston,livinch01,False,0:31,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,-9.3,202401130MIL,MIL,game
Thanasis Antetokounmpo,antetth01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,MIL,game
MarJon Beauchamp,beaucma01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,MIL,game
A.J. Green,greenaj01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,MIL,game
Robin Lopez,lopezro01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,MIL,game
Cameron Payne,payneca01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,MIL,game
TyTy Washington Jr.,washity02,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130MIL,MIL,game
Isaiah Hartenstein,harteis01,True,42:07,.773,.833,.000,.667,19.5,29.6,25.0,6.6,2.4,9.3,27.9,10.8,127,91,5.0,202401130MEM,NYK,game
Miles McBride,mcbrimi01,True,38:03,.873,.900,.700,.200,0.0,15.1,8.3,20.2,1.3,2.6,21.6,15.4,138,102,5.6,202401130MEM,NYK,game
